arrivalRate,brownoutMethod,discipline,outDir,relativeDeviation,seed,timeNmu,timeNsigma,timeYmu,timeYsigma,optionalRatio,rtAvg,rtMax,rtP95,rtP99,rtP999,utilization
5,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0005,1,1,0.00067,6.7e-06,0.07,0.0007,0.982062780269,0.0962855785436,0.215263888157,0.179483398751,0.198558508501,0.212099370909,0.343551175306
6,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0006,1,1,0.00067,6.7e-06,0.07,0.0007,0.970149253731,0.0974200529948,0.219595059359,0.181873086924,0.199060735375,0.213848525973,0.405893452426
7,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0007,1,1,0.00067,6.7e-06,0.07,0.0007,0.950636942675,0.101506824917,0.22636819579,0.186992044194,0.205066958831,0.215700782147,0.466753653311
8,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0008,1,1,0.00067,6.7e-06,0.07,0.0007,0.925874125874,0.10555901864,0.216765114317,0.190679486198,0.205086154309,0.215638718247,0.515909001006
9,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0009,1,1,0.00067,6.7e-06,0.07,0.0007,0.90391908976,0.106974089651,0.227947640194,0.193487465219,0.216439291246,0.225062014814,0.558393524714
10,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0010,1,1,0.00067,6.7e-06,0.07,0.0007,0.882488479263,0.109426382802,0.226960489056,0.198479891031,0.211901389414,0.221024266601,0.600252669442
20,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0020,1,1,0.00067,6.7e-06,0.07,0.0007,0.624648283624,0.105778209602,0.233258222893,0.20099765132,0.214875213077,0.221874948322,0.870529575739
30,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0030,1,1,0.00067,6.7e-06,0.07,0.0007,0.449101796407,0.0913006498472,0.234029705578,0.202598857251,0.217091112191,0.23028075619,0.941863662448
40,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0040,1,1,0.00067,6.7e-06,0.07,0.0007,0.342385218365,0.0801695981202,0.232290201341,0.203432187719,0.217389585354,0.228123017414,0.969113339912
50,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0050,1,1,0.00067,6.7e-06,0.07,0.0007,0.273641851107,0.0713263772242,0.235946560448,0.202185677777,0.216309664908,0.22651413888,0.975578613391
