arrivalRate,brownoutMethod,discipline,outDir,relativeDeviation,seed,timeNmu,timeNsigma,timeYmu,timeYsigma,optionalRatio,rtAvg,rtMax,rtP95,rtP99,rtP999,utilization
600,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0600,1,0,0.00067,6.7e-06,0.07,0.0007,0.0142836079472,0.0332917953734,0.254380004997,0.0446650713032,0.185306683598,0.230904516068,0.999804280308
700,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0700,1,0,0.00067,6.7e-06,0.07,0.0007,0.0108421185531,0.0342753716086,0.278301164485,0.0484772215578,0.117847662559,0.248977063718,0.999775567677
800,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0800,1,0,0.00067,6.7e-06,0.07,0.0007,0.00828263274336,0.0337446630664,0.306630055209,0.0522900841399,0.0599190722618,0.266704084971,0.999936303983
900,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0900,1,0,0.00067,6.7e-06,0.07,0.0007,0.00631711161462,0.0331668190121,0.345926398769,0.0572267345275,0.0655733281369,0.282930813462,0.999954465805
1,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0001,1,1,0.00067,6.7e-06,0.07,0.0007,1.0,0.0794079849267,0.168804011546,0.135263298557,0.154488886038,0.167372498995,0.0681324784579
2,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0002,1,1,0.00067,6.7e-06,0.07,0.0007,1.0,0.083807083461,0.241164552635,0.140829608847,0.231161103058,0.240029531113,0.147010897504
3,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0003,1,1,0.00067,6.7e-06,0.07,0.0007,1.0,0.0903204560227,0.254670862728,0.180124276937,0.245490805086,0.253335076314,0.212295055176
4,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0004,1,1,0.00067,6.7e-06,0.07,0.0007,1.0,0.0963049970345,0.266424017775,0.186298967785,0.249257468411,0.262949737052,0.286343782556
5,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0005,1,1,0.00067,6.7e-06,0.07,0.0007,0.997757847534,0.101750777294,0.274180337785,0.200215349334,0.256651321235,0.271312819863,0.348380580518
6,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0006,1,1,0.00067,6.7e-06,0.07,0.0007,0.990671641791,0.104791494726,0.279478960358,0.209907425856,0.25721911892,0.275401399619,0.414202253784
7,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0007,1,1,0.00067,6.7e-06,0.07,0.0007,0.974522292994,0.111228776089,0.286164050377,0.224614765578,0.254910627805,0.285442124703,0.478547131462
8,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0008,1,1,0.00067,6.7e-06,0.07,0.0007,0.959440559441,0.118975208152,0.297537709981,0.233835606741,0.258932698344,0.291494602323,0.533889622846
9,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0001-arrivalRate0009,1,1,0.00067,6.7e-06,0.07,0.0007,0.926675094817,0.117626340683,0.287267537442,0.230313453785,0.2673782534,0.278422861043,0.572225154661
