arrivalRate,rtAvg,rt95,rt99,rtMax,optionalRatio,utilization
1,0.0723192413904,0.0981692282306,0.137783575621,0.194985877733,1.0,0.0671627316357
2,0.0762011414278,0.125728572887,0.161591425873,0.237887419464,1.0,0.138485942711
3,0.0797856883146,0.13827184114,0.183998227548,0.2608400792,1.0,0.206840588102
4,0.0841766167935,0.148117104668,0.205159833309,0.291587884157,1.0,0.277724016535
5,0.090251012361,0.170541336751,0.244630841077,0.425668897904,1.0,0.346162113312
6,0.0963191017883,0.193961017374,0.26871738524,0.458503625945,0.9989958159,0.415948925407
7,0.103979937972,0.217666454771,0.298349003338,0.481957003117,0.997698504028,0.483997222533
8,0.113388610575,0.243439212137,0.329139290409,0.436930842979,0.995489287057,0.55454627331
9,0.1245424951,0.272608242004,0.345846457613,0.450160003134,0.988527511695,0.619779038916
10,0.136577290861,0.294841348547,0.360868384195,0.459918759591,0.974007797661,0.680233856922
11,0.147366939179,0.306087583802,0.364129990803,0.464695073532,0.9518555667,0.730226619195
12,0.154664563082,0.308287150259,0.371615324215,0.448095886975,0.921413061634,0.772663400529
13,0.157248481721,0.308627373601,0.372116436289,0.49322681286,0.881842610365,0.804517332712
14,0.155802736389,0.301527908309,0.362544819032,0.483168284174,0.839187744923,0.82501895921
15,0.152846220301,0.29817254371,0.364016379611,0.504607435235,0.792922237744,0.836007474312
16,0.145844996818,0.288681295859,0.358351140158,0.475896822038,0.748739024846,0.843740287983
17,0.14040310351,0.273523649942,0.344786682741,0.447702006348,0.709347442681,0.847758242613
18,0.133047076155,0.262527338677,0.34247847421,0.480355282812,0.671778629772,0.850225012703
19,0.126827600352,0.250848273113,0.335312979569,0.437756204454,0.639214444092,0.851446233297
20,0.121884220509,0.241311172119,0.317797369129,0.4591349849,0.60680974827,0.852781577976
21,0.117416429842,0.232939886884,0.314298853806,0.478446372336,0.577859461524,0.85352495669
22,0.112499486688,0.224156257921,0.302988612368,0.474136913221,0.551132744973,0.854443509452
23,0.106842718486,0.208979775491,0.276280508097,0.443639163614,0.525157642966,0.853968292566
24,0.103277812545,0.198258858224,0.26372176646,0.464354510577,0.504165278241,0.855076807266
25,0.0984481639172,0.186636552498,0.248723822318,0.471026982766,0.483146517214,0.853423086997
26,0.0957509853006,0.18355634969,0.248242992602,0.489240294325,0.465212195968,0.85440704595
27,0.0931557703662,0.17604942999,0.236913341408,0.456218722881,0.448418003565,0.855021520724
28,0.0898027390839,0.171781465916,0.231127512816,0.469046779821,0.431036334348,0.85394902919
29,0.0867769437213,0.164269658405,0.215458224998,0.485444597294,0.416854049192,0.854762463714
30,0.0840803312863,0.157553703764,0.20943424876,0.480145416173,0.402956620623,0.854848293648
31,0.0816625507413,0.152390332606,0.206438288383,0.491610136161,0.389225436522,0.852967221973
32,0.0802124039469,0.147889287509,0.196285269949,0.473663409466,0.376691044917,0.854591391879
33,0.0789595253242,0.147313797439,0.192343585545,0.480439871191,0.365271648151,0.853959004026
34,0.0763833999378,0.144936171986,0.188929468471,0.492473245976,0.353778880813,0.852869506434
35,0.0751085427836,0.142493648913,0.190885243767,0.471730150489,0.343376086769,0.854414321704
36,0.0739397768626,0.139966876972,0.183624713974,0.478145176453,0.334160555447,0.853962415991
37,0.0714490831828,0.135816285891,0.176981962895,0.486739066663,0.324331652297,0.853806042216
38,0.0709917707411,0.134817491434,0.17526152893,0.502642831693,0.315928618638,0.853892879714
39,0.0690574137881,0.132221013079,0.171495931836,0.510764658155,0.306973992231,0.853443218572
40,0.068417556053,0.129827504295,0.167762700085,0.498331191015,0.299184543972,0.85270890323
41,0.0675346951578,0.128915866406,0.169376969276,0.491613658981,0.292727762935,0.854456367747
42,0.0662249855484,0.125101430379,0.161417211179,0.500364199262,0.285799765444,0.854279036055
43,0.0644754586019,0.122063807886,0.157723303269,0.504801143547,0.277622050923,0.853768828784
44,0.0637461156563,0.121812402909,0.158667300347,0.477860700402,0.270974953237,0.853015895225
45,0.0629738539465,0.119944851574,0.152072789644,0.481702160765,0.265344411686,0.853330458355
46,0.0620135278864,0.118770131495,0.149894850427,0.485376601112,0.259735151436,0.853494413753
47,0.0614881636074,0.117468318033,0.149163723751,0.488894682296,0.254403047358,0.85417000865
48,0.0606768458196,0.115531297729,0.150170671877,0.492266176763,0.248836916887,0.854512261257
49,0.0597909953757,0.113762364974,0.145351467144,0.49906954089,0.242820486503,0.854090796615
