arrivalRate,rtAvg,rt95,rt99,rtMax,optionalRatio,utilization
1,0.0723192413904,0.0981692282306,0.137783575621,0.194985877733,1.0,0.0671627316357
2,0.0762011414278,0.125728572887,0.161591425873,0.237887419464,1.0,0.138485942711
3,0.0797856883146,0.13827184114,0.183998227548,0.2608400792,1.0,0.206840588102
4,0.0841766167935,0.148117104668,0.205159833309,0.291587884157,1.0,0.277724016535
5,0.090251012361,0.170541336751,0.244630841077,0.425668897904,1.0,0.346162113312
6,0.0965103205807,0.194309970502,0.271979572244,0.458503625945,0.999665271967,0.416237447362
7,0.103990658946,0.2174874225,0.299611570255,0.448684217835,0.997266973533,0.483811151234
8,0.11383949367,0.245524033721,0.335508185013,0.436930842979,0.995990477384,0.55484681021
9,0.126494865248,0.282891786896,0.357451651667,0.450473255876,0.993428380486,0.62281127215
10,0.141632207142,0.316720345734,0.384628653542,0.463202028471,0.982705188443,0.686163803821
11,0.156835264411,0.342600179534,0.39894697649,0.456462110526,0.966444788912,0.740963892953
12,0.169689632465,0.355290786348,0.403099172518,0.470014692972,0.942861916298,0.789606904142
13,0.185872514444,0.37009061676,0.412585114423,0.464202237183,0.915694103194,0.834410739139
14,0.19795520929,0.376889067058,0.419731670568,0.476689967809,0.881217044321,0.865626628644
15,0.208490285395,0.382563266259,0.419031099496,0.479566403121,0.84680369853,0.891843929422
16,0.216201905874,0.387143722723,0.422552828854,0.47731699596,0.80687550601,0.908259103909
17,0.220727683385,0.390329790223,0.427477342083,0.469194769914,0.768828267388,0.917657914134
18,0.222478852369,0.391129900495,0.422926539391,0.496295359849,0.73295170344,0.925462300644
19,0.224677026754,0.39020940252,0.426128966795,0.477619108023,0.700227020749,0.932609086378
20,0.224199769984,0.391078093608,0.425609281508,0.475910362245,0.66648280012,0.934939669788
21,0.224660793931,0.393434540754,0.42748551796,0.488069078902,0.635378371926,0.936392937284
22,0.224826666402,0.394112416292,0.42588070068,0.491830765318,0.605551763367,0.938030625246
23,0.223884623763,0.395589037205,0.426223415342,0.485779550957,0.578933634861,0.938835109892
24,0.222631545214,0.394158846604,0.427134652914,0.479097982178,0.554930633671,0.940632958223
25,0.221414115808,0.394406763174,0.428213837687,0.487489597123,0.533392056374,0.941339173212
26,0.222221362017,0.394746773476,0.429210445293,0.475647349103,0.514112747744,0.943288824835
27,0.220271425384,0.394253679905,0.426770559607,0.47896550603,0.49676916221,0.945890019226
28,0.219673313146,0.393558658268,0.426520045496,0.492121479312,0.479967059329,0.948364008099
29,0.219419312628,0.39434295169,0.428418112224,0.488059484967,0.464290657439,0.949296176141
30,0.218606749973,0.393928066945,0.427048791014,0.490552530734,0.449320933967,0.95144403553
31,0.217422157838,0.392769822994,0.425243844002,0.476700256976,0.43609680241,0.952852714696
32,0.217294406543,0.391461008456,0.423888545341,0.483319072416,0.422295493798,0.951985467025
33,0.216816281711,0.392662012341,0.425825810431,0.496282034585,0.409608475918,0.954112586747
34,0.21626242145,0.392640487487,0.42669422034,0.501979659473,0.397577190131,0.953963677229
35,0.21647284233,0.392585509725,0.424651338122,0.489575693184,0.386693073854,0.955620222964
36,0.215482075552,0.391525312958,0.424740448933,0.488786332018,0.376126063311,0.956626899342
37,0.215003293447,0.391309080577,0.424783608397,0.481422433471,0.366398133832,0.95882211942
38,0.214132537323,0.390769438247,0.425620202393,0.47982370733,0.356801057502,0.9594940878
39,0.214141326251,0.390737859049,0.426500713542,0.505201948305,0.347387646953,0.96170763697
40,0.213491528526,0.390213807681,0.424756578081,0.480042605757,0.339280337248,0.961448813829
41,0.213266163387,0.39096425839,0.425691408696,0.484777593171,0.331078265559,0.962337506635
42,0.21328644981,0.391032724153,0.426255684338,0.480632949932,0.32289646918,0.96243495363
43,0.212516198328,0.390011664251,0.425094160692,0.501939770124,0.315237450069,0.963236283293
44,0.21191649533,0.389614288057,0.424550039133,0.476887637699,0.308389246428,0.965128729278
45,0.211672059513,0.389643109976,0.422945956814,0.488503467426,0.301711043603,0.96504485704
46,0.212318841608,0.391973109669,0.42643495153,0.486023073084,0.294552291011,0.964946195846
47,0.211724380678,0.391159369379,0.425839434194,0.492376151307,0.288692450932,0.966492258984
48,0.211232384347,0.390294840559,0.425085143487,0.485420728773,0.282951259377,0.968781414938
49,0.211366425977,0.390608838263,0.425801208621,0.488598295884,0.276691852825,0.9678055239

