arrivalRate,rtAvg,rt95,rt99,rtMax,optionalRatio,utilization
1,0.0728842958255,0.0977801516208,0.134831292863,0.17850150018,1.0,0.0677563549079
2,0.0763638144256,0.124486229079,0.163914646442,0.22079916532,1.0,0.139033883964
3,0.0801977630213,0.133908012911,0.18987686468,0.249794779156,1.0,0.208029913235
4,0.0845662324498,0.143037718992,0.203903752932,0.350987144006,1.0,0.278880610092
5,0.0905065579606,0.171486959152,0.244059243502,0.364789715204,1.0,0.347963600867
6,0.0965732414134,0.190075394471,0.27776757362,0.463681892258,1.0,0.418161133724
7,0.104427743699,0.212619287337,0.308045870684,0.478111621935,0.999856156502,0.486565700617
8,0.115064002619,0.247552195638,0.354765476339,0.495164000514,0.99962406015,0.558461297508
9,0.129494662787,0.290661995886,0.39889928956,0.499712361564,0.998886166184,0.627810261084
10,0.150125488843,0.348422927982,0.45250470205,0.49734851417,0.996700989703,0.697954741365
11,0.174860652337,0.414217101892,0.477035517024,0.499989887708,0.99069937084,0.76066363836
12,0.202347914116,0.447209847525,0.486073036543,0.499978437849,0.978696741855,0.820290804624
13,0.239368327882,0.467340832685,0.492559955447,0.500597829336,0.960227272727,0.875808022536
14,0.277311560415,0.477663011234,0.494465379955,0.499980639899,0.935081593387,0.919210336318
15,0.314147219169,0.483897479131,0.49643036783,0.499911636918,0.901609898882,0.949723853548
16,0.347090014558,0.487521296254,0.497418615183,0.500214343012,0.862900211785,0.971218512107
17,0.373196108227,0.4905177309,0.497972416711,0.499977273367,0.823270033512,0.982242671293
18,0.392790845382,0.491623904102,0.498393821973,0.500309251004,0.783812329757,0.989645493263
19,0.407169045183,0.492576099844,0.498400658376,0.499993973781,0.747320627211,0.994061205898
20,0.41923971454,0.493122563092,0.498638949652,0.499980927216,0.711390881276,0.996711162415
21,0.428917821928,0.493995400388,0.49880995661,0.500178191808,0.677776716646,0.998159370186
22,0.436041701928,0.494531346287,0.498882808178,0.499987092555,0.645974605197,0.998839387405
23,0.440959292524,0.494826818358,0.499024319972,0.500507712961,0.617462803446,0.999458776309
24,0.445497964289,0.494888471493,0.49901333828,0.500477323573,0.591215934661,0.999740102138
25,0.448776115146,0.495379704907,0.499030226885,0.500254767217,0.567898762565,0.999922356192
26,0.45117815265,0.495402505789,0.499090866984,0.499999288442,0.54646410118,0.999933004676
27,0.453719331222,0.495404583969,0.499093462811,0.500455251818,0.525960038624,0.999948090128
28,0.455217480924,0.495502961442,0.499156216249,0.501047082761,0.506858145615,0.999981401137
29,0.456691074882,0.495723057961,0.499227783837,0.500180693309,0.489445636376,0.999995024487
30,0.458137356096,0.495854109299,0.499219125875,0.500486673997,0.47289882227,0.999995190346
31,0.459153335847,0.495904145818,0.499128964268,0.5003945332,0.45781609568,0.999995345548
32,0.459704797328,0.496110853031,0.499239218857,0.500392179095,0.443355633029,0.999995491128
33,0.460580082178,0.496023738832,0.499161012979,0.500267670847,0.429563310798,0.999995627659
34,0.460772788086,0.496064266547,0.499196705957,0.500298243719,0.416720865606,0.999995756181
35,0.461407727751,0.496133725218,0.499219053317,0.500420063993,0.404357310982,0.999995877477
36,0.461816294728,0.495979081238,0.499227805064,0.500563956918,0.392663877266,0.999995992123
37,0.462406395771,0.49622898147,0.499296980881,0.500497751694,0.381581445816,0.999996100392
38,0.462771346038,0.496042883115,0.499215731566,0.500354131211,0.371776902124,0.999996202963
39,0.463022596519,0.496376724967,0.499312222631,0.500358731573,0.361530740922,0.999996300257
40,0.463357541475,0.49620436797,0.499259243885,0.500159541423,0.352421359175,0.999996392782
41,0.46345036081,0.496281810229,0.499274651882,0.500431284111,0.343999803835,0.999996480775
42,0.463719335458,0.496205883178,0.4992398748,0.500599561231,0.335695814577,0.999996564528
43,0.463760388939,0.496361897029,0.499222125302,0.500334552895,0.327428250911,0.999996644416
44,0.463987030714,0.496347801148,0.499211643697,0.501050668702,0.319532569498,0.999996720688
45,0.46412966162,0.496156774621,0.499221389507,0.500498882931,0.3125851784,0.99999679365
46,0.464547406924,0.496630253867,0.499301012423,0.500413967253,0.305695856565,0.999996863249
47,0.464151500056,0.496386270631,0.499349101599,0.500846880183,0.29909663056,0.999996929997
48,0.464322913905,0.496419129775,0.499319863587,0.500634388813,0.292692130309,0.999996993993
49,0.464505960926,0.496393745278,0.499271554774,0.500498624155,0.286515123514,0.999997055314

