arrivalRate,rtAvg,rt95,rt99,rtMax,optionalRatio,utilization
1,0.07672633598,0.122896185855,0.163160793123,0.164665879455,1.0,0.0669649017473
2,0.0849699070095,0.15199608012,0.216214785203,0.283530825661,1.0,0.146826371475
3,0.0910509553287,0.176671484741,0.233178386126,0.297037135754,1.0,0.212234405338
4,0.0966455195113,0.190150650498,0.241686896846,0.308790290801,1.0,0.285718149641
5,0.102095550491,0.199586360749,0.276825300847,0.328288102053,1.0,0.346388054233
6,0.107987082162,0.2223714449,0.291667487582,0.38009047051,0.996661101836,0.414883022198
7,0.116864211414,0.249532872187,0.316294940805,0.376343943099,0.985754985755,0.479455071841
8,0.127159066187,0.263626999953,0.31874467134,0.412572140081,0.979924717691,0.541273571726
9,0.137370871656,0.286882759813,0.341358173968,0.45647724209,0.971623155505,0.593629487783
10,0.144813657466,0.30475271234,0.341242556734,0.421585580503,0.949222797927,0.636507076121
11,0.153378663644,0.319555084597,0.349388802582,0.390711553141,0.920222634508,0.689796590204
12,0.158239919492,0.318459281126,0.355713704212,0.471973005917,0.899830220713,0.736821292169
13,0.164136035029,0.327433223728,0.365985008395,0.400396214645,0.881610102605,0.777482284705
14,0.169099669525,0.329996405071,0.367607212452,0.405830898586,0.846488052136,0.814821966064
15,0.170026999009,0.334952141266,0.379960147237,0.420142330913,0.821232876712,0.838318897732
16,0.174439353516,0.34084421327,0.391249091156,0.415919037144,0.788363171355,0.865664840998
17,0.177939480788,0.338938451586,0.377861214809,0.46915781386,0.765587529976,0.893989517644
18,0.176732498914,0.343459334196,0.378661591433,0.429437423925,0.72701793722,0.909940825237
19,0.17826455497,0.343321798924,0.377619289053,0.462278342073,0.70407623081,0.932764013907
20,0.177406713657,0.349229860735,0.381744417346,0.472113206581,0.674066599395,0.937852691894
21,0.176113069513,0.344347821964,0.386916879939,0.483513755581,0.644699140401,0.948314559026
22,0.174620308859,0.348522515081,0.386934719445,0.442239855933,0.618289353958,0.954796178524
23,0.172259835578,0.35037601522,0.383318500246,0.442882032604,0.595466434176,0.959005643321
24,0.169669242483,0.348218813598,0.383460095192,0.4449372867,0.57448594209,0.963575215843
25,0.167940849392,0.352688995449,0.393538587097,0.479066627032,0.557568438003,0.974082698715
26,0.164624716489,0.353802699472,0.384427952908,0.443215261458,0.532487504806,0.976634739573
27,0.162367648981,0.348921734081,0.387740728569,0.4483796986,0.516524322317,0.980375805713
28,0.160091579787,0.35237964827,0.391643205541,0.456150998414,0.501794687724,0.979294984495
29,0.15751328572,0.351401157201,0.389915240558,0.448921390392,0.484869565217,0.981261321494
30,0.154633201783,0.351695003665,0.391598284148,0.458355278237,0.46981450253,0.98115838005
31,0.151291404719,0.348626432398,0.381899664143,0.437803778374,0.456088801828,0.983904324397
32,0.148219547777,0.347456455844,0.383445946833,0.446537601898,0.44008782936,0.986147866898
33,0.145934498418,0.350618547897,0.382156061726,0.43843213853,0.423579459131,0.987806193634
34,0.14484639444,0.350896238907,0.391224738573,0.486586986976,0.411487481591,0.990607867552
35,0.143671687069,0.351812535406,0.387057981068,0.430516501219,0.401092581944,0.989853286065
36,0.141232119609,0.352394645612,0.390205150455,0.471209220843,0.389417693169,0.991037690361
37,0.138851322749,0.352199196865,0.389919469676,0.451928662166,0.378400435256,0.988660569318
38,0.136745252227,0.35171771562,0.386346576576,0.455806828414,0.370222929936,0.991959576868
39,0.135304282404,0.350663423424,0.388996342105,0.438855729845,0.359669506842,0.992001705872
40,0.132534551894,0.35083166512,0.385900589911,0.438992792448,0.350427350427,0.99084404248
41,0.131543609884,0.351380096779,0.388189760315,0.45239926195,0.343195266272,0.989128853603
42,0.129896344562,0.3483874892,0.385162992284,0.484002356228,0.337756332931,0.994952545787
43,0.127774944674,0.345116497967,0.385925949672,0.463772347743,0.328319623972,0.993150170206
44,0.125651577721,0.348610291254,0.38441411742,0.448765702709,0.319012797075,0.991828552438
45,0.125847057315,0.349417925035,0.386713075597,0.457381025444,0.312737855384,0.993446655728
46,0.122140962201,0.345965563655,0.385543370786,0.455748017814,0.303010471204,0.993993974132
47,0.121554401255,0.345359126632,0.38399531034,0.444260030162,0.298673513051,0.993735183975
48,0.119296167257,0.346325410319,0.382736783628,0.47193659968,0.290748898678,0.993787961999
49,0.118898638989,0.34348635912,0.378748838396,0.451871512799,0.286713286713,0.994068807989
